"ID","种","属","亚科","描述","分布"
"688","大禹瘤颚蚁Strumigenys dayui","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国云南（勐腊）。"
"689","江西瘤颚蚁Strumigenys jiangxiensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国江西（龙南（九连山））。"
"690","垦丁瘤颚蚁Strumigenys konteiensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"691","利嘉瘤颚蚁Strumigenys lichiaensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾（嘉义）。"
"692","弄巴瘤颚蚁Strumigenys nongba","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国云南（陇川）。"
"693","多毛瘤颚蚁Strumigenys pilosa","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广西、湖南。"
"694","中华瘤颚蚁Strumigenys sinensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国福建。"
"695","多形瘤颚蚁Strumigenys trada","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"696","威氏瘤颚蚁Strumigenys wilsoniana","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国浙江。"
"697","杨氏瘤颚蚁Strumigenys yangi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国云南（勐腊）。"
"698","银足切胸蚁Temnothorax argentipes","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国北京、福建、广西（金钟山）、河南、辽宁、宁夏、陕西。"
"699","猫儿山切胸蚁Temnothorax maoerensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广西（猫儿山）。"
"700","皮氏切胸蚁Temnothorax pisarskii","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国辽宁、黑龙江、河北、山西、陕西。"
"701","陕西切胸蚁Temnothorax shannxiensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国陕西。"
"702","黄色切胸蚁Temnothorax xanthos","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国江苏（南京）；朝鲜。"
"703","浙江切胸蚁Temnothorax zhejiangensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国浙江。"
"704","连胸铺道蚁Tetramorium annectens","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国北京、蒙古。"
"705","几内亚铺道蚁Tetramorium guineense","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国福建、广东、广西、湖南、江苏、台湾；古巴，加拿大，库克群岛，新几内亚，中非共和国，刚果民主共和国，几内亚，尼日利亚，塞内加尔。"
"706","心头铺道蚁Tetramorium cardiocarenum","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广西（崇左、东兰、河池、金秀、隆林、三江）、贵州、四川（川西南高原域）、云南。"
"707","圆叶铺道蚁Tetramorium cyclolobium","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广西、云南。"
"708","藤黄铺道蚁Tetramorium gambogecum","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国宁夏、新疆；新几内亚。"
"709","马氏铺道蚁Tetramorium mai","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国甘肃（兰州）。"
"710","糙铺道蚁Tetramorium scabrum","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广西；缅甸；马来西亚；印度尼西亚。"
"711","玉龙铺道蚁Tetramorium yulongense","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国云南。"
"712","亮颚扁胸切叶蚁Vollenhovia lucimandibula","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国湖北（鹤峰）。"
"713","门神扁胸切叶蚁Vollenhovia menshen","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"714","褐红扁胸切叶蚁Vollenhovia pyrrhoria","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国湖南、湖北、云南。"
"715","顺风耳扁胸切叶蚁Vollenhovia shunfenger","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"716","星君扁胸切叶蚁Vollenhovia xingjun","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"717","长钩猛蚁Anochetus longus","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae",,"中国广西（防城港）。"
"718","锡兰姬猛蚁Hypoponera ceylonensis","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae",,"中国云南。"
"719","西氏大齿猛蚁Odontomachus silvestrii","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae",,"中国香港。"
"720","宾氏细长蚁Tetraponera binghami","细长蚁属Tetraponera","蚁亚科蚂蚁Formicinae",,"中国广西（十万大山、弄岗、西大明山、十万大山）、广东（河尾山、深圳）、海南、香港、云南；印度，马来西亚。"
"721","隆背细长蚁Tetraponera convexa","细长蚁属Tetraponera","蚁亚科蚂蚁Formicinae",,"中国云南。"
"722","叉唇细长蚁Tetraponera furcata","细长蚁属Tetraponera","蚁亚科蚂蚁Formicinae",,"中国云南（无量山）。"
"723","显赫细长蚁Tetraponera notabilis","细长蚁属Tetraponera","蚁亚科蚂蚁Formicinae",,"中国云南。"
"724","尖唇细长蚁Tetraponera protensa","细长蚁属Tetraponera","蚁亚科蚂蚁Formicinae",,"中国云南。"
"725","台湾双节行军蚁Aenictus formosensis","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae",,"中国台湾、浙江（开化（古田山））；日本。"
"726","荷氏双节行军蚁Aenictus hoelldobleri","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae",,"中国江西（婺源）。"
"727","爪哇双节行军蚁Aenictus javanus","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae",,"中国海南；文莱，印度尼西亚，马来西亚，泰国，越南，婆罗洲。"
"728","邵氏克雷蚁Chrysapace sauteri","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae",,"中国台湾；越南。"
"729","双刺滑蚁Lioponera bispinata","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae",,"中国广西（十万大山）。"
"730","网纹滑蚁Lioponera reticulata","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae",,"中国台湾；澳大利亚。"
"731","网纹旁影蚁Parasyscia reticulatus","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"732","柯氏锯猛蚁Prionopelta kraepelini","矛猛蚁属Myopopone","蚁亚科蚂蚁Formicinae",,"中国台湾（六龟）；菲律宾，爪哇，萨摩亚群岛，密克罗尼西亚群岛，澳大利亚。"
"733","贝利点猛蚁Stigmatomma bellii","矛猛蚁属Myopopone","蚁亚科蚂蚁Formicinae",,"中国，印度。"
"734","神秘点猛蚁Stigmatomma crypticum","矛猛蚁属Myopopone","蚁亚科蚂蚁Formicinae",,"中国香港、广东；越南。"
"735","Luyi点猛蚁Stigmatomma luyiae","矛猛蚁属Myopopone","蚁亚科蚂蚁Formicinae",,"中国台湾（台中）。"
"736","日本细蚁Leptanilla japonica","细蚁属Leptanilla","蚁亚科蚂蚁Formicinae",,"中国香港；日本（本州）。"
"737","云南细蚁Leptanilla yunnanensis","细蚁属Leptanilla","蚁亚科蚂蚁Formicinae",,"中国云南。"
"738","钟氏原细蚁Protanilla jongi","细蚁属Leptanilla","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"739","单色原细蚁Protanilla concolor","细蚁属Leptanilla","蚁亚科蚂蚁Formicinae",,"中国云南。"
"740","耿马原细蚁Protanilla gengma","细蚁属Leptanilla","蚁亚科蚂蚁Formicinae",,"中国云南（耿马）。"
"741","珠结铺道蚁Tetramorium globulinode","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国安徽、福建、广东、广西、海南、河南、湖北、湖南、四川、台湾、云南；刚果，津巴布韦，南非共和国。"
"742","皱腹铺道蚁Tetramorium striativentre","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国新疆；阿富汗，哈萨克斯坦，吉尔吉斯斯坦，塔吉克斯坦，土库曼斯坦，乌兹别克斯坦，伊朗。"
"743","舟山多刺蚁Polyrhachis tschu","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国。"
"744","仲尼切胸蚁Temnothorax confucii","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"745","中亚林蚁Formica mesasiatica","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国新疆（巴里坤、米泉、乌鲁木齐）；俄罗斯。"
"746","赭色大头蚁Pheidole ochracea","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广东、广西（桂林、弄岗、梧州）、香港；越南。"
"747","长头大头蚁Pheidole elongicephala","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国云南（西双版纳）、香港；越南。"
"748","长毛弓背蚁Camponotus nipponensis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国河南（鸡公山）；日本，韩国，朝鲜。"
"749","长角狡臭蚁Technomyrmex antennus","穴臭蚁属Bothriomyrmex","蚁亚科蚂蚁Formicinae",,"中国广西（花坪、融安、临桂、金钟山、弄岗）、广东（惠东、连州、梅州（梅江区））、湖北（来凤、鹤峰、利川、咸丰、五峰、长阳、宜昌、神农架、竹溪、竹山、郧县、襄阳、罗田、浠水、通山、崇阳、新洲、监利、荆州）、重庆、湖南。"
"750","长刺切胸蚁Temnothorax spinosior","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国北京、河北、河南、黑龙江、广西、湖南、湖北、安徽、浙江、广东（始兴、南岭）、陕西、重庆（大巴山）、宁夏、山东、；日本，朝鲜。"
"751","越南大头蚁Pheidole vieti","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国云南（西双版纳）、台湾；越南。"
"752","英格来铺道蚁Tetramorium inglebyi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国四川、云南；越南，婆罗洲，印度。"
"753","印度铺道蚁Tetramorium indicum","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾；马来西亚半岛，缅甸，婆罗洲，印度尼西亚，不丹，斯里兰卡，印度。"
"754","埃氏拟毛蚁Pseudolasius emeryi","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国浙江、湖北（利川、武汉）、四川、福建、广西（临桂）、广东（惠东）、河南（开封、尉氏、杞县、商丘）、重庆（大巴山）、未定（Yi Leang、Louei）、云南（西双版纳、无量山）、台湾；印度，缅甸。"
"755","伊琴瘤颚蚁Strumigenys lyroessa","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国云南（西双版纳）；印度，斯里兰卡，不丹。"
"756","耶氏铺道蚁Tetramorium yerburyi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国西藏（墨脱）、云南；斯里兰卡、印度。"
"757","多孔曲颊猛蚁Gnamptogenys treta","曲颊猛蚁属Gnamptogenys","蚁亚科蚂蚁Formicinae",,"中国云南（西双版纳）；印度尼西亚，马来西亚。"
"758","阎王切胸蚁Temnothorax yanwan","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"759","岩羊多刺蚁Polyrhachis rupicapra","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国湖南；印度，斯里兰卡。"
"760","滇无齿猛蚁Discothyrea diana","无齿猛蚁属Discothyrea","蚁亚科蚂蚁Formicinae",,"中国云南。"
"761","版纳无齿猛蚁Discothyrea banna","无齿猛蚁属Discothyrea","蚁亚科蚂蚁Formicinae",,"中国云南（西双版纳）。"
"762","郑氏华丽蚁Paratopula zhengi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国西藏（墨脱）。"
"763","龙门卷尾猛蚁Proceratium longmenense","无齿猛蚁属Discothyrea","蚁亚科蚂蚁Formicinae",,"中国云南（昆明）。"
"764","日本卷尾猛蚁Proceratium japonicum","无齿猛蚁属Discothyrea","蚁亚科蚂蚁Formicinae",,"中国台湾（南投）；日本。"
"765","上海举腹蚁Crematogaster zoceensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国湖南、四川、重庆、云南（无量山）、河北、山东、上海、湖北、河南（周口、项城、太康、扶沟、西华、鹿邑、沈丘、 商水、鹤壁（淇县、山城、鹤山、浚县））、江苏、安徽、江西、浙江（丽水）、福建。"
"766","凶暴铺道蚁Tetramorium ferox","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国新疆（阿克苏、哈密）；俄罗斯，哈萨克斯坦，吉尔吉斯斯坦，乌兹别克斯坦，土库曼斯坦，阿塞拜疆，阿富汗，伊朗，沙特阿拉伯，格鲁吉亚，亚美尼亚，土耳其，乌克兰，科西嘉岛，撒丁岛，西西里岛，马耳他，意大利，奥地利，捷克，斯洛伐克，匈牙利，克罗地亚，罗马尼亚，塞尔维亚，黑山共和国，保加利亚，马其顿，希腊，爱奥尼亚群岛，爱琴群岛，克里特岛。"
"767","谢氏铺道蚁Tetramorium schneideri","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国新疆（塔城、五家区、准噶尔盆地）；阿富汗，哈萨克斯坦，吉尔吉斯斯坦，塔吉克斯坦，土库曼斯坦，乌兹别克斯坦，伊朗。"
"768","楔结长齿蚁Myrmoteras cuneonodum","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国云南（景洪、西双版纳）。"
"769","褐红弓背蚁Camponotus semirufus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国新疆（阜康）；土耳其，阿富汗，里海以北的中亚地区。"
"770","小刺铺道蚁Tetramorium parvispinum","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国福建、江西、台湾、香港、云南（西双版纳）；菲律宾，泰国，婆罗洲。"
"771","香港大头蚁Pheidole hongkongensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广东（罗浮山、南岭）、广西（青龙山、南宁、玉林）、海南、四川（川东盆地域）、香港、云南（西双版纳）、澳门；老挝，泰国，越南。"
"772","相似铺道蚁Tetramorium simillimum","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广东（湛江）、广西（北海、防城、桂林、南宁、山口英罗港、金钟山）、贵州、湖南、台湾、云南；日本、小笠原群岛），东南亚，南亚，大洋洲，西亚，非洲，欧洲，美洲，太平洋，印度洋，大西洋。"
"773","缺刺弓背蚁Camponotus vanispinus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国新疆（鄯善、巴楚、尉犁、麦盖提）。"
"774","下毛蚁Formica subpilosa","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国新疆（奎屯、克拉玛依、托托、托里、且末、鄯善、新源、尼丰、乌鲁木齐）；俄罗斯。"
"775","细毛铺道蚁Tetramorium pilosum","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国浙江；斯里兰卡。"
"776","细毛瘤颚蚁Strumigenys leptothrix","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾；日本。"
"777","无缘细长蚁Tetraponera amargina","细长蚁属Tetraponera","蚁亚科蚂蚁Formicinae",,"中国云南（西双版纳）。"
"778","无刺铺道蚁Tetramorium inerme","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国新疆（哈密）；俄罗斯，蒙古，哈萨克斯坦，乌兹别克斯坦，吉尔吉斯斯坦，塔吉克斯坦，土库曼斯坦，阿富汗，伊朗，阿塞拜疆，亚美尼亚，土耳其。"
"779","沃什举腹蚁Crematogaster walshi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国四川、云南。"
"780","沃森大头蚁Pheidole watsoni","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广东、广西、湖北、四川、重庆、西藏、云南（高黎贡山、无量山）；缅甸，克什米尔，孟加拉国，斯里兰卡，印度。"
"781","温和瘤颚蚁Strumigenys mitis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国广东、香港、云南（西双版纳）；泰国，菲律宾，马来西亚，新加坡，印度尼西亚，文莱，巴布亚新几内亚。"
"782","威氏瘤颚蚁Strumigenys wilsoni","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国浙江。"
"783","王氏瘤颚蚁Strumigenys emeswangi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国福建。"
"784","弯钩棱胸切叶蚁Pristomyrmex hamatus","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国云南（西双版纳）。"
"785","驼背多刺蚁Polyrhachis cyphonota","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国云南（文山）、贵州（湄潭）。"
"786","木兰点猛蚁Stigmatomma mulanae","矛猛蚁属Myopopone","蚁亚科蚂蚁Formicinae",,"中国云南（勐腊）。"
"787","中华小家蚁Monomorium chinense","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国北京、河北、湖北、河南（开封、兰考、尉氏、通许、周口、太康、项城、西华、淮阳、鹿邑、郸城、商水、济源、鹤壁（淇县、淇滨、山城、鹤山、浚县）、鸡公山）、山西、山东、上海、江苏（常州）、浙江、江西、安徽、福建、广东（七星坑、河尾山、鼎湖山、车八岭、罗浮山）、广西（木论、花坪、青狮潭、金钟山）、湖南、四川（成都、川西北高山高原域、四川盆地西缘山地域、川西南高原域、川东盆地域）、重庆、西藏（喜马拉雅山（亚东段））、云南（西双版纳、无量山）、海南（昌江）、陕西、香港；朝鲜半岛，日本，在国外广泛分布于亚洲国家。"
"788","中华红林蚁Formica sinensis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国甘肃（凉州、景泰、兰州、会宁、山丹、永靖、榆中、永昌、永登、古浪、宕昌、麦积）、河南（开封、尉氏、通许）、宁夏（六盘山（龙门）、罗山、西吉（火石寨））、陕西、四川（川西北高山高原域）、重庆、云南（云岭）、北京、山西、河北、青海、西藏（德姆拉山）。"
"789","全唇尼氏蚁Nylanderia integera","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国湖北（恩施、竹山、郧县、赤壁）、广西（桂林、弄岗）、广东（深圳（大鹏））、湖南。"
"790","条纹多刺蚁Polyrhachis striata","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国福建（厦门）；爪哇，印度尼西亚，菲律宾。"
"791","天山蚁Formica tianshanica","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae",,"中国新疆（天山地区）；吉尔吉斯斯坦。"
"792","天蓬切胸蚁Temnothorax tianpeng","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国台湾。"
"793","提西瘤颚蚁Strumigenys tisiphone","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae",,"中国湖南、广东、湖北；日本。"
